"first_name","last_name","id","age","study_hours","specialization","GPA","date_added","gender"
"Jamal","Ben Kacem","90123460","24","1","Information Technology","2.93","03/06/2022","F"
"Sameera","Jeridi","10234570","24","7","Business Analytics","2.92","14/06/2022","M"
"Hadi","Ben Ayed","21345681","24","3","Information Technology","2.91","15/06/2022","F"
"Ahmed","Ben Ameur","32456792","21","5","Accounting","2.9","24/06/2022","M"
"Fatima","Ben Farhat","43567804","21","7","Business Analytics","2.89","19/06/2022","F"
"Omar","Ben Guirat","54678915","24","2","Marketing","2.88","25/06/2022","M"
"Aisha","Ben Rejeb","65789026","25","6","Finance","2.87","13/06/2022","F"
"Ali","Ben Rayana","76890137","22","8","Marketing","2.86","12/06/2022","M"
"Layla","Khaldi","87901248","22","null","Accounting","2.85","15/06/2022","F"
"Hassan","Ben Fadhel","89012350","21","6","Information Technology","2.84","05/06/2022","M"
"Zahra","Ben Boubaker","90123461","25","6","Finance","2.83","12/06/2022","F"
"Yusuf","Ben Abid","10234571","21","5","Business Analytics","2.82","11/06/2022","M"
"Nour","Ben Nasr","21345682","25","5","Marketing","2.81","04/06/2022","F"
"Malik","Ben Mansour","32456793","22","3","Marketing","2.8","29/06/2022","M"
"Amina","Ben Moussa","43567805","25","4","Accounting","2.79","25/06/2022","F"
"Amir","Ben Hmidi","54678916","24","5","Accounting","2.78","14/06/2022","M"
"Leila","Ben Salem","65789027","23","7","Information Technology","2.77","02/06/2022","F"
"Bilal","Ben Hamza","76890138","21","null","Marketing","2.76","22/06/2022","M"
"Hana","Ben Aissa","87901249","25","5","Marketing","2.75","12/06/2022","F"
"Tariq","Ben Hmida","89012351","22","4","Information Technology","2.74","15/06/2022","M"
"Noor","Ben Cheikhrouhou","90123462","21","7","Accounting","2.73","18/06/2022","F"
"Kareem","Ben Slama","10234572","24","5","Accounting","2.72","18/06/2022","M"
"Rania","Ben Saidane","21345683","21","3","Finance","2.71","01/06/2022","F"
"Samir","Ben Jemai","32456794","22","1","Business Analytics","2.7","26/06/2022","M"
"Aaliyah","Ben Alaya","43567806","23","7","Finance","2.69","28/06/2022","F"
"Raheel","Ben Miled","54678917","23","7","Finance","2.68","06/06/2022","M"
"Ayesha","Ben Khalifa","65789028","21","7","Accounting","2.67","18/06/2022","F"
"Idris","Ben Ammar","76890139","25","null","Marketing","2.66","04/06/2022","M"
"Samira","Ben Fradj","87901250","25","2","Finance","2.65","05/06/2022","F"
"Nizar","Ben Jeddou","89012352","21","3","Finance","2.64","11/06/2022","M"
"Sana","Ben Chebbi","90123463","24","7","Business Analytics","2.63","12/06/2022","F"
"Farid","Ben Salah","10234573","21","2","Information Technology","2.62","02/06/2022","M"
"Amira","Ben Fadhloun","21345684","24","8","Marketing","2.61","20/06/2022","F"
"Kareema","Ben El Abed","32456795","24","2","Business Analytics","2.6","24/06/2022","M"
"Zayd","Ben Jaafar","43567807","22","4","Marketing","2.59","02/06/2022","F"
"Safa","Ben Ghozzi","54678918","23","5","Marketing","2.58","17/06/2022","M"
"Zainab","Ben Saida","65789029","23","5","Accounting","2.57","29/06/2022","F"
"Hamza","Ben Touati","76890140","25","1","Information Technology","2.56","08/06/2022","M"
"Yasmin","Ben Nejma","87901251","24","1","Marketing","2.55","25/06/2022","F"
"Talal","Ben Chibani","89012353","22","null","Marketing","2.54","07/06/2022","M"
"Shireen","Ben Jemai","90123464","23","8","Marketing","2.53","11/06/2022","F"
"Khalid","Ben Saidi","10234574","22","2","Information Technology","2.52","05/06/2022","M"
"Layth","Ben Hmida","21345685","24","2","Accounting","2.51","24/06/2022","F"
"Nadia","Ben Alaya","32456796","22","3","Accounting","2.5","13/06/2022","M"
"Tarek","Ben Guirat","43567808","23","2","Finance","2.49","06/06/2022","F"
"Salma","Ben Cheikh","54678919","21","5","Finance","2.48","13/06/2022","M"
"Imran","Ben Amor","65789030","23","null","Business Analytics","2.47","11/06/2022","F"
"Lina","Ben Rached","76890141","22","6","Information Technology","2.46","29/06/2022","M"
"Khaled","Ben Fadhloun","87901252","21","1","Information Technology","2.45","05/06/2022","F"
"Abeer","Ben Jaafar","89012354","22","5","Information Technology","2.44","26/06/2022","M"
"Jamal","Ben Ghozzi","90123465","23","3","Business Analytics","2.43","01/06/2022","F"
"Sameera","Ben Saida","10234575","21","4","Information Technology","2.42","07/06/2022","M"
"Hadi","Ben Touati","21345686","22","4","Business Analytics","2.41","10/06/2022","F"
"Ahmed","Ben Nejma","32456797","24","null","Information Technology","2.4","09/06/2022","M"
"Fatima","Ben Chibani","43567809","23","2","Finance","2.39","14/06/2022","F"
"Omar","Ben Jemai","54678920","21","null","Accounting","2.38","08/06/2022","M"
"Aisha","Ben Saidi","65789031","24","2","Business Analytics","2.37","24/06/2022","F"
"Ali","Ben Hmida","76890142","21","5","Finance","2.36","07/06/2022","M"
"Layla","Ben Alaya","87901253","24","3","Accounting","2.35","25/06/2022","F"
"Hassan","Ben Guirat","89012355","21","5","Finance","2.34","07/06/2022","M"
"Zahra","Ben Cheikh","90123466","22","null","Marketing","2.33","28/06/2022","F"
"Yusuf","Ben Amor","10234576","22","1","Information Technology","2.32","08/06/2022","M"
"Nour","Ben Rached","21345687","21","null","Marketing","2.31","03/06/2022","F"
"Malik","Ben Fadhloun","32456798","22","2","Accounting","2.3","20/06/2022","M"
"Amina","Ben Jaafar","43567810","21","7","Business Analytics","2.29","27/06/2022","F"
"Amir","Ben Ghozzi","54678921","21","1","Accounting","2.28","13/06/2022","M"
"Leila","Ben Saida","65789032","25","1","Accounting","2.27","25/06/2022","F"
"Bilal","Ben Touati","76890143","23","7","Marketing","2.26","23/06/2022","M"
"Hana","Ben Nejma","87901254","22","2","Information Technology","2.25","04/06/2022","F"
"Tariq","Ben Chibani","89012356","25","4","Information Technology","2.24","06/06/2022","M"
"Noor","Ben Jemai","90123467","22","1","Accounting","2.23","02/06/2022","F"
"Kareem","Ben Saidi","10234577","23","5","Accounting","2.22","04/06/2022","M"
"Rania","Ben Hmida","21345688","22","6","Marketing","2.21","26/06/2022","F"
"Samir","Ben Alaya","32456799","22","6","Accounting","2.2","08/06/2022","M"
"Aaliyah","Ben Guirat","43567811","23","8","Marketing","2.19","07/06/2022","F"
"Raheel","Ben Cheikh","54678922","25","null","Business Analytics","2.18","24/06/2022","M"
"Ayesha","Ben Amor","65789033","23","6","Marketing","2.17","22/06/2022","F"
"Idris","Ben Rached","76890144","25","3","Accounting","2.16","11/06/2022","M"
"Samira","Ben Fadhloun","87901255","22","4","Information Technology","2.15","19/06/2022","F"
"Nizar","Ben Jaafar","89012357","21","7","Information Technology","2.14","22/06/2022","M"
"Sana","Ben Ghozzi","90123468","21","4","Accounting","2.13","27/06/2022","F"
"Farid","Ben Saida","10234578","22","6","Accounting","2.12","25/06/2022","M"
"Amira","Ben Touati","21345689","24","5","Information Technology","2.11","21/06/2022","F"
"Kareema","Ben Nejma","32456800","22","7","Business Analytics","2.1","22/06/2022","M"
"Zayd","Ben Chibani","43567812","21","5","Information Technology","2.09","20/06/2022","F"
"Safa","Ben Jemai","54678923","21","7","Accounting","2.08","20/06/2022","M"
"Zainab","Ben Saidi","65789034","21","3","Marketing","2.07","22/06/2022","F"
"Hamza","Ben Ali","76890145","22","1","Marketing","2.06","28/06/2022","M"
"Yasmin","Bouazizi","87901256","25","4","Information Technology","2.05","05/06/2022","F"
"Talal","Ghannouchi","89012358","22","8","Accounting","2.04","01/06/2022","M"
"Shireen","Trabelsi","90123469","25","null","Information Technology","2.03","28/06/2022","F"
"Khalid","Cherif","12345678","24","8","Finance","2.02","26/06/2022","M"
"Layth","Sassi","23456789","25","2","Accounting","2.01","13/06/2022","F"
"Nadia","Khemiri","34567890","24","1","Finance","2.0","15/06/2022","M"
"Tarek","Ben Amor","45678901","24","1","Business Analytics","1.99","20/06/2022","F"
"Salma","Gharbi","56789012","21","8","Accounting","1.98","20/06/2022","M"
"Imran","Haddad","67890123","24","8","Finance","1.97","19/06/2022","F"
"Lina","Ben Youssef","78901234","23","8","Finance","1.96","10/06/2022","M"
"Khaled","Ben Slimane","89012345","24","5","Marketing","1.95","24/06/2022","F"
"Abeer","Mabrouk","90123456","25","1","Marketing","1.94","02/06/2022","M"
"Jamal","Hachicha","10234567","23","6","Accounting","1.93","28/06/2022","F"
"Sameera","Ben Salah","21345678","23","6","Accounting","1.92","11/06/2022","M"
"Hadi","Nasri","32456789","23","2","Information Technology","1.91","09/06/2022","F"
"Ahmed","Mejri","43567890","22","6","Marketing","1.9","23/06/2022","M"
"Fatima","Ben Mahmoud","54678901","22","null","Business Analytics","1.89","21/06/2022","F"
"Omar","Jemai","65789012","21","3","Marketing","1.88","15/06/2022","M"
"Aisha","Ben Cheikh","76890123","25","8","Information Technology","1.87","15/06/2022","F"
"Ali","Hajji","87901234","21","3","Finance","1.86","12/06/2022","M"
"Layla","Ben Abdallah","89012346","22","5","Marketing","1.85","23/06/2022","F"
"Hassan","Chakroun","90123457","24","null","Finance","1.84","22/06/2022","M"
"Zahra","Ghazouani","12345679","24","1","Business Analytics","1.83","16/06/2022","F"
"Yusuf","Gabsi","23456780","23","4","Information Technology","1.82","07/06/2022","M"
"Nour","Ben Hassen","34567891","25","1","Business Analytics","1.81","11/06/2022","F"
"Malik","Rekik","45678902","21","5","Finance","1.8","06/06/2022","M"
"Amina","Khelifi","56789013","24","null","Marketing","1.79","12/06/2022","F"
"Amir","Ben Brahim","67890124","22","3","Accounting","1.78","20/06/2022","M"
"Leila","Dridi","78901235","24","3","Business Analytics","1.77","22/06/2022","F"
"Bilal","Ben Mansour","89012347","25","7","Information Technology","1.76","10/06/2022","M"
"Hana","Ben Othman","90123458","24","7","Information Technology","1.75","02/06/2022","F"
"Tariq","Ben Miled","10234568","23","7","Finance","1.74","25/06/2022","M"
"Noor","Khiari","21345679","25","2","Accounting","","02/06/2022","F"
"Kareem","Ben Romdhane","32456780","22","3","Finance","1.73","22/06/2022","M"
"Rania","Ben Jemaa","43567892","24","3","Finance","1.72","21/06/2022","F"
"Samir","Ben Arfa","54678903","21","7","Finance","1.86","05/06/2022","M"
"Aaliyah","Boujemaa","65789014","22","1","Finance","1.85","09/06/2022","F"
"Raheel","Ben Hamouda","76890125","25","1","Information Technology","1.84","25/06/2022","M"
"Ayesha","Ben Salah","87901236","24","6","Information Technology","1.83","21/06/2022","F"
"Idris","Ben Lamine","89012348","22","2","Marketing","1.82","15/06/2022","M"
"Samira","Ben Aliya","90123459","22","2","Accounting","1.81","24/06/2022","F"
"Nizar","Ben Choug","10234569","21","null","Business Analytics","1.8","26/06/2022","M"
"Sana","Kechrid","21345680","24","8","Finance","1.79","09/06/2022","F"
"Farid","Ben Mabrouk","32456791","21","4","Information Technology","1.78","10/06/2022","M"
"Amira","Ben Hmida","43567803","22","6","Information Technology","1.77","02/06/2022","F"
"Kareema","Ben Dhia","54678914","24","2","Business Analytics","1.76","21/06/2022","M"
"Zayd","Ben Kacem","65789025","21","8","Finance","1.75","29/06/2022","F"
"Safa","Jeridi","76890136","23","1","Finance","1.74","07/06/2022","M"
"Zainab","Ben Ayed","87901247","22","2","Finance","","12/06/2022","F"
"Hamza","Ben Ameur","89012349","23","3","Information Technology","1.73","28/06/2022","M"
"Yasmin","Ben Farhat","90123460","24","3","Marketing","1.72","21/06/2022","F"
"Talal","Ben Guirat","10234570","24","6","Finance","1.86","18/06/2022","M"
"Shireen","Ben Rejeb","21345681","23","4","Marketing","1.85","26/06/2022","F"
"Khalid","Ben Rayana","32456792","22","7","Marketing","1.84","27/06/2022","M"
"Layth","Khaldi","43567804","24","1","Business Analytics","1.83","12/06/2022","F"
"Nadia","Ben Fadhel","54678915","21","8","Marketing","1.82","20/06/2022","M"
"Tarek","Ben Boubaker","65789026","21","8","Finance","1.81","03/06/2022","F"
"Salma","Ben Abid","76890137","23","6","Information Technology","1.8","03/06/2022","M"
"Imran","Ben Nasr","87901248","23","7","Accounting","1.79","25/06/2022","F"
"Lina","Ben Mansour","89012350","22","8","Business Analytics","1.78","18/06/2022","M"
"Khaled","Ben Moussa","90123461","22","7","Information Technology","1.77","19/06/2022","F"
"Abeer","Ben Hmidi","10234571","23","3","Information Technology","1.76","05/06/2022","M"
"Jamal","Ben Salem","21345682","25","null","Accounting","1.75","13/06/2022","F"
"Sameera","Ben Hamza","32456793","23","3","Finance","1.74","23/06/2022","M"
"Hadi","Ben Aissa","43567805","22","4","Marketing","","26/06/2022","F"
