"first_name","last_name","id","age","study_hours","specialization","GPA","date_added","gender"
"Nadira","Kichou","2140958","25","6","Information Technology","2.84","19/11/2020","M"
"Walid","Tassili","7892430","25","8","Marketing","2.83","02/10/2020","F"
"Mouna","Adjali","5301764","24","8","Finance","2.82","31/05/2021","M"
"Nacer","Kessaï","1624958","24","1","Business Analytics","2.81","30/01/2021","F"
"Rym","Meradji","8750432","22","null","Finance","2.8","11/07/2020","M"
"Yassine","Boudechiche","3148602","22","4","Marketing","2.79","13/08/2020","F"
"Salima","Hammoudi","9624703","21","7","Information Technology","2.78","17/04/2021","M"
"Khaled","Bessaoud","4078132","23","3","Information Technology","2.77","08/02/2021","F"
"Souad","Khalfallah","5987041","24","4","Finance","2.76","25/05/2021","M"
"Bilal","Mezouar","2361584","25","2","Accounting","2.75","23/07/2020","F"
"Rania","Terki","7850342","25","5","Finance","2.74","18/11/2020","M"
"Abdou","Benyahia","4198760","21","7","Finance","2.73","23/03/2021","F"
"Rania","Boulenouar","6928341","23","null","Accounting","2.72","04/05/2021","M"
"Karim","Kellal","1508927","24","null","Marketing","2.71","04/09/2020","F"
"Samia","Bouzidi","3482079","21","2","Information Technology","2.7","24/10/2020","M"
"Rafik","Belaïd","8703912","21","1","Business Analytics","2.69","17/08/2020","F"
"Sana","Ferroukhi","5019783","23","8","Information Technology","2.68","19/08/2020","M"
"Zaki","Hadef","6270934","23","2","Marketing","2.67","21/02/2021","F"
"Leila","Khelifi","9352408","23","null","Finance","2.66","15/03/2021","M"
"Karim","Derriche","4678135","24","7","Accounting","2.65","15/10/2020","F"
"Samira","Bougara","2187650","21","4","Information Technology","2.64","20/08/2020","M"
"Amine","Mehennaoui","8032156","22","7","Accounting","2.63","05/07/2020","F"
"Yousra","Hamza","5946802","21","7","Accounting","2.62","11/04/2021","M"
"Mehdi","Belkessa","3762148","23","6","Marketing","2.61","07/11/2020","F"
"Khadidja","Guendouz","1095843","22","null","Accounting","2.6","06/10/2020","M"
"Younes","Bougrara","8650742","23","2","Finance","2.59","03/01/2021","F"
"Fadila","Terfaya","4297186","25","4","Business Analytics","2.58","11/03/2021","M"
"Yacine","Tafat","7850234","21","4","Accounting","2.57","16/01/2021","F"
"Amel","Harbi","5134072","23","7","Information Technology","2.56","02/08/2020","M"
"Ahmed","Boukhari","6901274","22","3","Marketing","2.55","28/12/2020","F"
"Souhila","Bouhadi","2475038","21","2","Marketing","2.54","15/08/2020","M"
"Abderrahmane","Hamel","8234951","21","8","Finance","2.53","26/10/2020","F"
"Selma","Ziani","6012384","24","4","Accounting","2.52","01/03/2021","M"
"Mourad","Benchikh","3840172","23","6","Information Technology","2.51","21/10/2020","F"
"Chaima","Chibani","7590238","21","1","Business Analytics","2.5","16/02/2021","M"
"Tarek","Benkaci","1684023","23","8","Marketing","2.49","13/12/2020","F"
"Salima","Bensaïd","5024138","22","7","Business Analytics","2.48","25/09/2020","M"
"Mohand","Tassili","9374812","23","3","Accounting","2.47","19/09/2020","F"
"Lila","Boumedienne","3615892","23","6","Marketing","2.46","15/05/2021","M"
"Yacine","Gueddouda","7403128","24","1","Marketing","2.45","12/08/2020","F"
"Meriem","Boukhalfa","2548093","22","8","Accounting","2.44","27/02/2021","M"
"Walid","Aïssaoui","6785031","23","8","Information Technology","2.43","24/03/2021","F"
"Fadila","Derkaoui","4198650","24","2","Marketing","2.42","09/01/2021","M"
"Nassim","Terki","9320841","22","5","Finance","2.41","07/03/2021","F"
"Lina","Khalfallah","5784203","23","1","Business Analytics","2.4","30/04/2021","M"
"Hicham","Meziani","3147980","23","4","Information Technology","2.39","21/11/2020","F"
"Ghania","Khelifi","6051789","22","1","Accounting","2.38","18/09/2020","M"
"Samir","Boughedir","8214903","24","null","Business Analytics","2.37","30/10/2020","F"
"Yasmina","Guerfi","1490623","21","8","Finance","2.36","28/01/2021","M"
"Kamal","Kichou","3870152","24","2","Finance","2.35","25/10/2020","F"
"Houda","Tassili","6948012","25","3","Information Technology","2.34","21/08/2020","M"
"Zaki","Adjali","5032481","22","8","Finance","2.33","27/03/2021","F"
"Mouna","Kessaï","8762104","23","6","Accounting","2.32","14/07/2020","M"
"Karim","Meradji","2358417","25","null","Accounting","2.31","08/12/2020","F"
"Meriem","Boudechiche","9810342","22","null","Accounting","2.3","09/12/2020","M"
"Samir","Hammoudi","4685093","22","3","Information Technology","2.29","26/04/2021","F"
"Dina","Bessaoud","7201634","25","6","Accounting","2.28","08/08/2020","M"
"Khaled","Khalfallah","2954780","23","2","Marketing","2.27","21/10/2020","F"
"Anissa","Belaïd","6328401","21","7","Business Analytics","2.26","03/03/2021","M"
"Yassine","Ferroukhi","8012543","22","5","Information Technology","2.25","22/12/2020","F"
"Salwa","Hadef","1275834","24","1","Marketing","2.24","25/10/2020","M"
"Amir","Khelifi","5798142","21","4","Business Analytics","2.23","09/08/2020","F"
"Chahrazed","Derriche","3462108","23","4","Business Analytics","2.22","27/05/2021","M"
"Abdel","Bougara","9038741","21","1","Business Analytics","2.21","09/11/2020","F"
"Yousra","Mehennaoui","5189376","23","6","Marketing","2.2","20/01/2021","M"
"Said","Hamza","6248031","25","null","Finance","2.19","29/07/2020","F"
"Nour","Belkessa","4598102","25","1","Information Technology","2.18","24/10/2020","M"
"Samir","Guendouz","7820134","21","8","Finance","2.17","03/09/2020","F"
"Hanifa","Bougrara","3152948","23","6","Accounting","2.16","15/08/2020","M"
"Wassim","Terfaya","6784501","21","8","Accounting","2.15","08/04/2021","F"
"Rania","Tafat","1934678","23","2","Business Analytics","2.14","07/05/2021","M"
"Abdelkrim","Harbi","8420579","24","null","Finance","2.13","21/04/2021","F"
"Nadia","Boukhari","2378091","21","1","Finance","2.12","02/04/2021","M"
"Yazid","Bouhadi","5062873","21","5","Business Analytics","2.11","13/03/2021","F"
"Kenza","Hamel","9813452","21","null","Information Technology","2.1","14/05/2021","M"
"Rachid","Ziani","7462318","25","null","Marketing","2.09","24/03/2021","F"
"Farida","Benchikh","3208467","25","7","Accounting","2.08","10/02/2021","M"
"Abdellah","Chibani","6951832","22","3","Finance","2.07","15/05/2021","F"
"Nawal","Benkaci","8540923","22","null","Information Technology","2.06","27/10/2020","M"
"Hakim","Bensaïd","1309874","22","6","Finance","2.05","10/02/2021","F"
"Amira","Tassili","5870412","24","4","Business Analytics","2.04","13/11/2020","M"
"Samir","Boumedienne","4037158","22","8","Accounting","2.03","30/11/2020","F"
"Nadia","Gueddouda","2196357","24","6","Marketing","2.02","31/08/2020","M"
"Abderrahim","Boukhalfa","6740923","21","null","Information Technology","2.01","30/05/2021","F"
"Ouarda","Aïssaoui","1582974","22","7","Finance","2.0","14/11/2020","M"
"Abdelmajid","Derkaoui","8320761","24","3","Marketing","1.99","16/12/2020","F"
"Samira","Terki","5021483","21","8","Marketing","1.98","21/01/2021","M"
"Faiza","Khalfallah","9678134","23","8","Business Analytics","1.97","29/07/2020","F"
"Sofiane","Meziani","4135862","25","5","Information Technology","1.96","15/09/2020","M"
"Kenza","Khelifi","7209348","23","null","Accounting","1.95","25/08/2020","F"
"Hamid","Boughedir","6480912","24","6","Accounting","1.94","19/04/2021","M"
"Zohra","Guerfi","3570928","23","5","Finance","1.93","24/08/2020","F"
"Hicham","Kichou","2910834","24","1","Accounting","1.92","05/04/2021","M"
"Widad","Tassili","5069723","23","4","Marketing","1.91","29/03/2021","F"
"Said","Adjali","1832074","25","3","Business Analytics","1.9","21/01/2021","M"
"Aicha","Kessaï","8903472","23","1","Accounting","1.89","17/03/2021","F"
"Hocine","Meradji","5432890","22","1","Finance","1.88","11/09/2020","M"
"Imane","Boudechiche","2673018","25","8","Marketing","1.87","08/12/2020","F"
"Mehdi","Hammoudi","7589024","25","null","Accounting","1.86","03/12/2020","M"
"Salma","Bessaoud","4295813","25","5","Business Analytics","1.85","12/01/2021","F"
"Abdallah","Khalfallah","6942381","24","6","Finance","1.84","12/11/2020","M"
"Samia","Belaïd","5038721","25","7","Marketing","1.83","14/04/2021","F"
"Reda","Ferroukhi","8274013","25","5","Marketing","1.82","02/02/2021","M"
"Hafsa","Hadef","1652398","25","2","Marketing","1.81","02/08/2020","F"
"Mourad","Khelifi","9740831","23","4","Accounting","1.8","05/07/2020","M"
"Rym","Derriche","7012548","24","1","Business Analytics","1.79","17/07/2020","F"
"Abderrezak","Bougara","2354718","25","6","Information Technology","1.78","19/09/2020","M"
"Kaoutar","Mehennaoui","8091734","22","6","Finance","1.77","20/08/2020","F"
"Yassine","Hamza","4568912","24","null","Marketing","1.76","28/02/2021","M"
"Mounir","Belkessa","3742980","22","1","Information Technology","1.75","07/12/2020","F"
"Malika","Guendouz","6921854","22","4","Information Technology","1.74","31/01/2021","M"
"Nassim","Bougrara","8371420","24","5","Accounting","1.73","09/05/2021","F"
"Dalila","Terfaya","1490853","21","8","Finance","1.72","14/07/2020","M"
"Moussa","Tafat","5870134","21","null","Accounting","","03/08/2020","F"
"Lina","Harbi","4280135","24","6","Information Technology","3.5","05/10/2020","M"
"Anis","Boukhari","7650923","25","2","Finance","3.49","25/04/2021","F"
"Nawal","Bouhadi","3021847","25","1","Marketing","3.48","08/08/2020","M"
"Samir","Hamel","5190347","21","null","Information Technology","3.47","31/03/2021","F"
"Hayat","Ziani","6948301","24","4","Finance","3.46","08/11/2020","M"
"Abdelkader","Benchikh","8702193","24","null","Information Technology","3.45","08/03/2021","F"
"Imene","Chibani","2137856","22","null","Accounting","3.44","15/08/2020","M"
"Samir","Benkaci","5082341","22","4","Information Technology","3.43","15/09/2020","F"
"Sana","Bensaïd","7942031","24","5","Marketing","3.42","25/10/2020","M"
"Redouane","Tassili","1563489","21","1","Business Analytics","3.41","05/09/2020","F"
"Salma","Boumedienne","6370412","23","7","Information Technology","3.4","03/12/2020","M"
"Youcef","Gueddouda","8901257","25","8","Business Analytics","3.39","09/08/2020","F"
"Yasmine","Boukhalfa","4215098","23","1","Business Analytics","3.38","28/02/2021","M"
"Amar","Aïssaoui","9038172","21","4","Marketing","3.37","13/09/2020","F"
"Rania","Derkaoui","1847502","23","1","Information Technology","3.36","29/05/2021","M"
"Abdesselam","Terki","6582013","24","null","Business Analytics","3.35","07/05/2021","F"
"Hanane","Khalfallah","3421589","21","4","Marketing","3.34","05/09/2020","M"
"Chakib","Meziani","9765023","21","8","Accounting","3.33","29/03/2021","F"
"Kaoutar","Khelifi","2801345","25","5","Information Technology","3.32","22/11/2020","M"
"Abdelkrim","Boughedir","5948213","22","5","Finance","3.31","21/08/2020","F"
