"first_name","last_name","id","age","study_hours","specialization","GPA","date_added","gender"
"Wiem","Fekih","321654987","22","7","Accounting","3.5","25/06/2020","M"
"Hatem","Belhadj","111222333","22","6","Marketing","3.4","25/06/2020","F"
"Sabah","Chebbi","333444555","23","3","Marketing","3.4","25/06/2020","M"
"Maher","Kacem","555666777","25","6","Marketing","3.4","25/06/2020","F"
"Nada","Jaouadi","777888999","23","null","Accounting","3.3","25/06/2020","M"
"Yassin","Ben Mansour","999000111","22","7","Information Technology","3.3","25/06/2020","F"
"Hajer","Mejri","111000999","21","1","Business Analytics","3.2","25/06/2020","M"
"Ayoub","El Abed","999888777","21","null","Marketing","3.2","25/06/2020","F"
"Manel","Dhaouadi","777666555","25","7","Information Technology","3.2","25/06/2020","M"
"Taha","Ben Romdhane","555444333","24","3","Accounting","3.1","25/06/2020","F"
"Dina","Marzouki","333222111","21","5","Finance","3.1","25/06/2020","M"
"Walid","Belkhir","654789321","22","6","Accounting","3.1","25/06/2020","F"
"Rym","Zouari","321987654","24","3","Accounting","3","25/06/2020","M"
"Hichem","Ben Othman","987321654","21","7","Business Analytics","3","25/06/2020","F"
"Asma","Hamdi","654321987","24","2","Information Technology","3","25/06/2020","M"
"Belhassen","Ben Ameur","987654321","22","6","Business Analytics","2.9","25/06/2020","F"
"Dorra","Bouzid","321456789","24","4","Finance","2.9","25/06/2020","M"
"Karim","Maatoug","123456789","21","7","Marketing","2.9","25/06/2020","F"
"Emna","Ben Miled","987654321","23","6","Business Analytics","2.8","25/06/2020","M"
"Taher","Laaribi","654321987","24","3","Accounting","2.8","25/06/2020","F"
"Feriel","Ben Ayed","321987654","25","6","Information Technology","2.8","25/06/2020","M"
"Yassine","Ben Slimane","987654321","23","null","Finance","2.7","25/06/2020","F"
"Hela","Jelassi","789654123","21","2","Finance","2.7","25/06/2020","M"
"Abdelkader","Ben Saad","456789321","23","5","Information Technology","2.7","25/06/2020","F"
"Wassila","Hachicha","654123789","21","2","Marketing","2.6","25/06/2020","M"
"Malek","Ben Mabrouk","321654987","23","5","Information Technology","2.6","25/06/2020","F"
"Meriem","Ammar","111222333","24","6","Business Analytics","2.6","25/06/2020","M"
"Hatem","Trabelsi","333444555","23","1","Information Technology","2.5","25/06/2020","F"
"Khawla","Gouia","555666777","24","2","Accounting","2.5","25/06/2020","M"
"Montassar","Rekik","777888999","23","8","Finance","2.4","25/06/2020","F"
"Imen","Khemiri","999000111","25","7","Business Analytics","2.4","25/06/2020","M"
"Jalel","Abid","111000999","25","5","Finance","2.3","25/06/2020","F"
"Amel","Zouaghi","999888777","23","3","Marketing","2.3","25/06/2020","M"
"Othman","Jarraya","777666555","25","6","Information Technology","2.3","25/06/2020","F"
"Noura","Gara","555444333","24","4","Accounting","2.2","25/06/2020","M"
"Aymen","Ben Dhia","333222111","23","2","Accounting","2.2","25/06/2020","F"
"Olfa","Touati","654789321","21","7","Accounting","2.2","25/06/2020","M"
"Bassem","Jedidi","321987654","25","6","Accounting","2.1","25/06/2020","F"
"Imen","Kammoun","987321654","21","4","Accounting","2.1","25/06/2020","M"
"Yacine","Gouider","654321987","25","3","Business Analytics","2.1","25/06/2020","F"
"Zeineb","Ben Haj","987654321","22","2","Accounting","2","25/06/2020","M"
"Anis","Louati","321456789","24","7","Finance","2","25/06/2020","F"
"Leila","Ben Moussa","123456789","21","3","Finance","2","25/06/2020","M"
"Ayman","Sghaier","987654321","25","null","Business Analytics","1.9","25/06/2020","F"
"Najet","Ben Ali","654321987","21","4","Finance","1.9","25/06/2020","M"
"Mohsen","Bouazizi","321987654","21","7","Business Analytics","1.9","25/06/2020","F"
"Nadia","Khaldi","987654321","25","4","Information Technology","1.8","25/06/2020","M"
"Mehdi","Hamrouni","789654123","22","1","Finance","1.8","25/06/2020","F"
"Khadija","Gharbi","456789321","23","3","Business Analytics","1.8","25/06/2020","M"
"Marouen","Jlassi","654123789","22","3","Finance","1.7","25/06/2020","F"
"Houda","Ben Amor","321654987","23","7","Business Analytics","1.7","25/06/2020","M"
"Amir","Chakroun","111222333","22","5","Information Technology","1.7","25/06/2020","F"
"Sonia","Nasri","333444555","22","4","Information Technology","1.6","25/06/2020","M"
"Nizar","Slimani","555666777","21","2","Information Technology","1.6","25/06/2020","F"
"Raja","Mabrouk","777888999","24","1","Business Analytics","1.6","25/06/2020","M"
"Hamza","Ben Youssef","999000111","22","8","Information Technology","1.5","25/06/2020","F"
"Mouna","Ghedira","111000999","21","null","Marketing","1.5","25/06/2020","M"
"Hichem","Cherif","999888777","25","7","Information Technology","1.5","25/06/2020","F"
"Asma","Gabsi","777666555","23","4","Finance","1.5","25/06/2020","M"
"Chedly","Ben Salah","555444333","21","8","Business Analytics","1.4","25/06/2020","F"
"Fadia","Haddad","333222111","23","2","Marketing","1.4","25/06/2020","M"
"Sami","Karray","654789321","23","7","Business Analytics","1.4","25/06/2020","F"
"Rihab","Ben Jemaa","321987654","23","3","Accounting","1.3","25/06/2020","M"
"Haikel","Sassi","987321654","21","5","Marketing","1.3","25/06/2020","F"
"Feryel","Ben Hassen","654321987","24","1","Information Technology","1.3","25/06/2020","M"
"Anouar","Jemai","987654321","21","3","Business Analytics","1.2","25/06/2020","F"
"Saloua","Miled","321456789","22","8","Accounting","1.2","25/06/2020","M"
"Ramzi","Ben Mahmoud","123456789","25","5","Information Technology","1.2","25/06/2020","F"
"Lamia","Chaabane","987654321","22","4","Information Technology","1.1","25/06/2020","M"
"Sofiene","Sfar","654321987","21","5","Information Technology","1.1","25/06/2020","F"
"Hanene","Fekih","321987654","25","null","Business Analytics","1.1","25/06/2020","M"
"Walid","Belhadj","987654321","21","6","Information Technology","1","25/06/2020","F"
"Emna","Chebbi","789654123","21","3","Finance","1","25/06/2020","M"
"Fawzi","Kacem","456789321","25","5","Accounting","1","25/06/2020","F"
"Amel","Jaouadi","654123789","24","1","Accounting","3.9","25/06/2020","M"
"Ayoub","Ben Mansour","321654987","23","6","Accounting","3.9","25/06/2020","F"
"Nour","Mejri","111222333","25","null","Finance","3.8","25/06/2020","M"
"Medhi","El Abed","333444555","22","3","Finance","3.8","25/06/2020","F"
"Fatma","Dhaouadi","555666777","23","7","Accounting","3.8","25/06/2020","M"
"Youssef","Ben Romdhane","777888999","23","3","Accounting","3.7","25/06/2020","F"
"Rim","Marzouki","999000111","22","3","Business Analytics","3.7","25/06/2020","M"
"Hamza","Belkhir","111000999","25","6","Accounting","3.6","25/06/2020","F"
"Amina","Zouari","999888777","22","6","Business Analytics","3.6","25/06/2020","M"
"Mohamed","Ben Othman","777666555","23","8","Marketing","3.6","25/06/2020","F"
"Houda","Hamdi","555444333","22","3","Business Analytics","3.5","25/06/2020","M"
"Marwen","Ben Ameur","333222111","23","3","Marketing","3.5","25/06/2020","F"
"Youssef","Bouzid","123456789","21","4","Finance","3.4","25/06/2020","M"
"Amira","Maatoug","234567890","21","6","Information Technology","3.4","25/06/2020","F"
"Ahmed","Ben Miled","345678901","22","6","Business Analytics","3.4","25/06/2020","M"
"Amina","Laaribi","456789012","22","4","Marketing","3.3","25/06/2020","F"
"Mehdi","Ben Ayed","567890123","25","7","Information Technology","3.3","25/06/2020","M"
"Fatma","Ben Slimane","678901234","22","1","Accounting","3.2","25/06/2020","F"
"Mohamed","Jelassi","789012345","23","3","Business Analytics","3.2","25/06/2020","M"
"Houda","Ben Saad","890123456","22","4","Information Technology","3.2","25/06/2020","F"
"Marwen","Hachicha","901234567","25","5","Marketing","3.1","25/06/2020","M"
"Nour","Ben Mabrouk","112233445","24","7","Marketing","3.1","25/06/2020","F"
"Aymen","Ammar","223344556","22","6","Marketing","3.1","25/06/2020","M"
"Amal","Trabelsi","334455667","25","3","Finance","3","25/06/2020","F"
"Fares","Gouia","445566778","24","3","Business Analytics","3","25/06/2020","M"
"Salma","Rekik","556677889","22","8","Business Analytics","3","25/06/2020","F"
"Anis","Khemiri","667788990","21","null","Finance","2.9","25/06/2020","M"
"Rania","Abid","778899001","21","7","Marketing","2.9","25/06/2020","F"
"Karim","Zouaghi","889900112","21","null","Information Technology","2.9","25/06/2020","M"
"Nesrine","Jarraya","990011223","22","null","Accounting","2.8","25/06/2020","F"
